product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Summit Standard Atlas,Books,25.70,10.84,78,8
2,Nova Essential Blender,Home,164.95,90.43,91,19
3,Summit Smart Speaker,Electronics,619.98,409.31,159,39
4,Crest Compact Laptop,Electronics,905.59,622.37,267,75
5,Pulse Essential Keyboard,Electronics,811.09,601.45,57,7
6,Zenith Classic Dumbbell,Sports,70.92,29.82,125,13
7,Summit Compact Hat,Clothing,78.75,32.73,899,153
8,Pulse Elite Jeans,Clothing,27.51,12.61,95,15
9,Zenith Pro Shirt,Clothing,151.33,91.46,124,18
10,Stride Classic Headphones,Electronics,980.82,523.31,173,25
11,Horizon Ultra Sneakers,Clothing,89.13,45.42,81,19
12,Pulse Essential Hat,Clothing,25.72,10.39,119,11
13,Forge Elite Dress,Clothing,165.51,74.94,583,89
14,Stride Standard Textbook,Books,5.69,3.98,416,86
15,Lumen Ultra Dress,Clothing,191.33,100.56,400,68
16,Nova Elite Jacket,Clothing,179.75,72.40,273,60
17,Apex Compact Laptop,Electronics,169.35,103.58,215,24
18,Summit Compact Headphones,Electronics,525.03,341.84,169,48
19,Horizon Standard Dumbbell,Sports,283.23,187.66,462,87
20,Horizon Deluxe Tablet,Electronics,553.05,384.02,80,20
21,Apex Premium Keyboard,Electronics,993.38,680.24,105,19
22,Crest Premium Monitor,Electronics,80.78,40.65,155,41
23,Nova Standard Guide,Books,31.04,16.73,396,61
24,Nest Compact Speaker,Electronics,193.67,79.03,279,73
25,Stride Elite Shirt,Clothing,77.36,35.13,209,39
26,Crest Essential Hat,Clothing,171.30,102.21,128,19
27,Apex Standard Textbook,Books,43.66,23.53,228,64
28,Nest Elite Jacket,Clothing,191.66,126.55,35,10
29,Summit Ultra Sneakers,Clothing,50.11,36.92,55,5
30,Summit Advanced Scarf,Clothing,165.20,68.32,33,7
31,Stride Eco Blender,Home,265.76,108.33,91,12
32,Stride Essential Scarf,Clothing,101.61,42.35,46,6
33,Nova Classic Mirror,Home,332.87,151.50,184,32
34,Forge Eco Lamp,Home,152.66,94.61,73,13
35,Lumen Premium Helmet,Sports,317.00,198.74,62,11
36,Vertex Advanced Laptop,Electronics,77.97,45.86,61,12
37,Horizon Premium Tablet,Electronics,945.00,416.94,117,17
38,Forge Compact Scarf,Clothing,129.02,86.83,626,180
39,Crest Premium Speaker,Electronics,51.07,25.90,102,29
40,Horizon Elite Monitor,Electronics,223.62,131.45,165,34
41,Stride Elite Sneakers,Clothing,57.80,27.23,95,9
42,Horizon Compact Speaker,Electronics,107.01,59.99,35,5
43,Vertex Essential Atlas,Books,41.44,21.57,137,37
44,Zenith Ultra Jacket,Clothing,56.17,30.45,131,20
45,Crest Classic Sneakers,Clothing,22.27,9.65,110,12
46,Horizon Compact Keyboard,Electronics,312.04,129.18,157,44
47,Crest Deluxe Jeans,Clothing,129.75,85.22,140,21
48,Vertex Smart Camera,Electronics,259.21,146.41,77,18
49,Forge Ultra Helmet,Sports,85.57,48.69,198,41
50,Apex Classic Monitor,Electronics,394.50,272.37,86,20
51,Summit Essential Chair,Home,303.03,140.30,85,15
52,Summit Smart Keyboard,Electronics,489.32,333.59,89,24
53,Lumen Classic Mirror,Home,211.57,136.88,625,68
54,Horizon Essential Hat,Clothing,184.97,129.89,86,25
55,Nova Smart Bicycle,Sports,223.78,124.52,138,23
56,Vertex Compact Jacket,Clothing,146.88,92.32,36,5
57,Horizon Essential Jeans,Clothing,141.33,63.69,133,21
58,Nest Classic Helmet,Sports,259.55,114.20,82,15
59,Zenith Smart Jeans,Clothing,117.59,47.04,295,51
60,Lumen Eco Running Shoes,Sports,348.35,212.39,531,148
61,Vertex Elite Bicycle,Sports,204.24,95.15,87,22
62,Crest Elite Shirt,Clothing,82.60,46.68,59,17
63,Crest Compact Laptop,Electronics,922.15,522.56,189,39
64,Lumen Pro Jeans,Clothing,181.71,79.13,62,9
65,Pulse Essential Running Shoes,Sports,43.57,31.96,22,5
66,Nova Classic Hat,Clothing,118.34,76.08,82,12
67,Vertex Ultra Shirt,Clothing,188.70,83.65,219,22
68,Forge Classic Cookbook,Books,39.03,21.47,738,212
69,Nova Smart Cookbook,Books,27.23,17.74,63,17
70,Lumen Elite Helmet,Sports,174.52,110.25,140,17
71,Nest Deluxe Helmet,Sports,302.39,136.33,113,24
72,Lumen Deluxe Jacket,Clothing,30.85,14.05,48,5
73,Horizon Advanced Blender,Home,266.28,179.98,124,27
74,Lumen Smart Scarf,Clothing,135.51,68.90,94,18
75,Stride Deluxe Biography,Books,44.89,23.02,749,121
76,Crest Premium Jeans,Clothing,170.08,104.96,311,83
77,Pulse Standard Laptop,Electronics,116.08,74.28,71,9
78,Summit Pro Headphones,Electronics,717.15,473.32,859,215
79,Forge Classic Running Shoes,Sports,287.94,204.21,489,143
80,Horizon Premium Monitor,Electronics,911.09,424.05,866,116
81,Zenith Eco Dress,Clothing,160.66,103.14,249,30
82,Summit Deluxe Sneakers,Clothing,10.15,6.07,201,38
83,Vertex Smart Jacket,Clothing,93.77,60.78,91,19
84,Crest Premium Camera,Electronics,64.30,34.87,91,27
85,Stride Advanced Helmet,Sports,75.24,53.87,67,11
86,Nova Classic Sneakers,Clothing,24.62,13.75,416,79
87,Horizon Standard Helmet,Sports,168.64,110.30,208,56
88,Zenith Ultra Camera,Electronics,542.94,302.28,173,39
89,Summit Ultra Headphones,Electronics,221.58,140.68,242,59
90,Nova Smart Monitor,Electronics,702.62,393.84,759,193
91,Nova Essential Jeans,Clothing,23.51,14.46,84,24
92,Pulse Deluxe Running Shoes,Sports,231.79,110.78,251,54
93,Forge Elite Shirt,Clothing,27.31,20.48,147,20
94,Nest Classic Running Shoes,Sports,139.33,73.40,84,20
95,Lumen Classic Cookbook,Books,32.29,19.53,486,86
96,Lumen Elite Jacket,Clothing,12.04,6.73,242,25
97,Lumen Compact Chair,Home,240.40,112.21,63,15
98,Forge Essential Dumbbell,Sports,332.59,207.64,551,79
99,Summit Essential Tablet,Electronics,225.36,101.12,145,41
100,Crest Pro Bicycle,Sports,87.59,64.79,102,25
101,Pulse Essential Bicycle,Sports,291.17,206.39,100,18
102,Pulse Elite Keyboard,Electronics,202.46,111.70,155,27
103,Pulse Ultra Scarf,Clothing,41.18,23.99,49,5
104,Vertex Pro Tablet,Electronics,973.17,472.48,365,86
105,Apex Elite Tablet,Electronics,994.79,548.63,66,19
106,Nova Standard Lamp,Home,85.97,52.50,109,31
107,Lumen Deluxe Desk,Home,74.77,55.84,264,48
108,Vertex Ultra Bicycle,Sports,280.97,123.20,54,14
109,Nova Classic Keyboard,Electronics,700.89,429.28,164,34
110,Lumen Essential Dumbbell,Sports,47.88,20.79,210,40
111,Nest Ultra Blender,Home,475.13,201.94,116,20
112,Summit Compact Rug,Home,97.75,68.41,226,57
113,Summit Compact Shirt,Clothing,59.24,35.70,109,27
114,Zenith Deluxe Jeans,Clothing,67.22,35.99,136,17
115,Stride Classic Monitor,Electronics,457.34,307.05,62,11
116,Nova Compact Helmet,Sports,228.93,171.48,98,14
117,Nova Elite Jeans,Clothing,108.37,64.39,43,8
118,Nova Compact Scarf,Clothing,132.42,78.89,138,23
119,Horizon Premium Hat,Clothing,105.73,48.59,148,26
120,Forge Smart Jacket,Clothing,104.10,43.49,165,33
121,Vertex Deluxe Jacket,Clothing,37.09,27.63,181,30
122,Nest Standard Sneakers,Clothing,100.16,41.31,244,62
123,Crest Pro Rug,Home,486.27,339.00,173,40
124,Vertex Smart Monitor,Electronics,477.11,317.99,222,32
125,Pulse Pro Shirt,Clothing,127.94,89.98,107,31
126,Vertex Compact Camera,Electronics,552.23,323.49,50,8
127,Crest Smart Vacuum,Home,474.01,317.66,159,45
128,Forge Deluxe Shirt,Clothing,12.81,5.46,123,35
129,Apex Advanced Blender,Home,164.94,107.99,92,24
130,Summit Premium Atlas,Books,23.53,14.34,146,39
131,Zenith Compact Rug,Home,103.30,75.43,74,20
132,Horizon Deluxe Vacuum,Home,240.25,108.51,151,27
133,Stride Essential Shirt,Clothing,32.41,21.76,186,55
134,Summit Classic Mirror,Home,407.94,165.74,134,24
135,Summit Smart Helmet,Sports,101.75,48.14,42,4
136,Crest Advanced Dress,Clothing,13.59,5.72,342,58
137,Crest Deluxe Mirror,Home,448.47,290.29,67,15
138,Nova Smart Shirt,Clothing,119.01,65.27,134,22
139,Crest Elite Dress,Clothing,190.16,80.58,224,42
